TC_001,"Verify presence of ""Register"" page",1. Browser should be open                                              2. User should be on nopCommerce homepage,Check if registration page is visible,"1. Open browser                                                                          2. Navigate to https://demo.nopcommerce.com              3. Click on ""Register"" link",1. Browser = chrome                                                          2. URL = https://demo.nopcommerce.com,Registration page should be visible,Registration page was visible,Pass
TC_002,Verify all registration fields are displayed,1. Browser should be open                                 2. User should be on Register page,Check all required fields are visible,"1. Open browser                                                                         2.  Navigate to https://demo.nopcommerce.com              3. Click on ""Register"" link                                          . Check for First Name, Last Name, Email, Password, Confirm Password fields",1. Browser = chrome                                                                      2. URL = https://demo.nopcommerce.com,All required fields should be visible,All registration fields were displayed,Pass
TC_003,Verify email field accepts valid email,1. Browser should be open                                            2. User should be on Register page,Check input field behavior,"1. Open browser                                                                         2. Navigate to https://demo.nopcommerce.com              3. Click on ""Register"" link                                                     4. Enter valid email   
5. Complete other required fields   
6. Click on ""Register"" button","1. Browser = chrome                                                                      2. URL = https://demo.nopcommerce.com                   3.Email: anilkumarraju8776@gmail.com
4.First Name: Anil
5.Last Name: Raj
6.Password: @Anilraj000
7.Confirm Password: @Anilraj000",User should be registered successfully or see confirmation message,User registered successfully,Pass
TC_004,Verify password and confirm password match check,1. Browser should be open                                            2. User should be on Register page,Check validation behavior,"1. Open browser                                                                          2. Navigate to https://demo.nopcommerce.com              3. Click on ""Register"" link                                                             4. Enter mismatching passwords                                              5. Click on ""Register"" button",1. Browser = chrome                                                                      2.URL = https://demo.nopcommerce.com    3.Password: @Anilraj000                                      4.Confirm Password: @Anilraj000,Error message should be shown about password mismatch,Password mismatch error message was displayed,Pass
TC_005,Verify registration with existing email,1. Browser should be open                             2. User should be on Register page                      3. Email should already exist in system,Check duplicate email behavior,"1. Open browser                                                                           2. Navigate to https://demo.nopcommerce.com              3. Click on ""Register"" link                                                     4. Enter existing email                                                             5. Fill in other details                                                               6. Click on ""Register""",1. Browser = chrome                                                                      2.URL = https://demo.nopcommerce.                                              3.Email: anilkumarraju8776@gmail.com (already registered                                                                     4.Other fields: valid,Error message should be shown about duplicate email,"""The specified email already exists"" message shown",Pass
TC_006,Verify gender selection radio buttons,1. Browser should be open                                            2. User should be on Register page,Check presence and functionality of gender options,1. Open browser                                                                         2. Navigate to Register page                                                3. Check for Male and Female radio buttons                       4. Select each and observe behavior,1. Browser = chrome                                                                      2.URL = https://demo.nopcommerce.com ,User should be able to select one gender radio button only,Both radio buttons were visible and allowed single selection,Pass
TC_007,Verify registration without filling mandatory fields,1. Browser should be open                                            2. User should be on Register page,Check mandatory field validation,"1. Open browser                                                                          2. Navigate to Register page                                                3. Leave all fields blank                                                          4. Click on ""Register""",1. Browser = chrome                                                                      2.URL = https://demo.nopcommerce.com ,Validation errors should appear for all mandatory fields,Error messages shown for required fields,Pass
TC_008,"Verify presence of ""Login"" link",1. Browser should be open                                2. User should be on homepage,Check if login link is visible,"1. Open browser                                                                          2. Navigate to https://demo.nopcommerce.com                 3. Look for and click ""Log in"" link",1.Browser= Chrome                                                2.URL= https://demo.nopcommerce.com,Login page should be visible,Login page opened successfully,Pass
TC_009,Verify successful login with valid credentials,1. User must be registered                                     2. Browser should be open,Check valid login flow,"1. Open browser                                                                         2. Navigate to https://demo.nopcommerce.com             3. Open login page                                                                     4. Enter valid email & password                                             5. Click ""Log in""",1.Browser= Chrome                                                2.URL= https://demo.nopcommerce.com                  3.Email: anilkumarraju8776@gmail.com                        4.Password:  @Anilraj000,User should be logged in and redirected to homepage,User was logged in and name was displayed in header,Pass
TC_010,Verify login with invalid password,1. Browser should be open                            2. Login page should be opened,Check validation for incorrect password,"1. Open browser                                                                         2. Navigate to https://demo.nopcommerce.com           3. Open login page                                                                     4. Enter valid email and wrong password                            5. Click ""Log in""",1. Open browser                                                                    2. Navigate to https://demo.nopcommerce.com                  3.Email: anilkumarraju8776@gmail.com                          4.Password:  @Anilraj000,Error message should appear,"""Login was unsuccessful"" message displayed",Pass
